country,cause,DALYs,pct_of_total_DALYs,DALYs_per_100K
Kenya,Neurological disorders,523008.0095,0.02924069,1082.232356
Jamaica,Musculoskeletal disorders,45578.15435,0.058263406,1639.936108
Jamaica,Other non-communicable diseases,36921.68358,0.047258108,1328.469811
Japan,Neglected tropical diseases and malaria,1491.197738,4.23E-05,1.161701385
Azerbaijan,Neurological disorders,149169.5202,0.046165352,1458.867678
Azerbaijan,Mental disorders,133032.2703,0.041114156,1301.046481
Jamaica,Unintentional injuries,24491.11303,0.031373619,881.2085781
Kenya,Chronic respiratory diseases,321117.5882,0.017976104,664.4713611
N. Mariana Is.,Cardiovascular diseases,2198.35988,0.180897784,4898.507889
Sudan,Cardiovascular diseases,1749533.831,0.122676659,4346.06857
Iceland,Neglected tropical diseases and malaria,5.202562821,6.95E-05,1.541634655
Montenegro,Skin and subcutaneous diseases,2995.732979,0.014799267,478.3086651
Montenegro,Sense organ diseases,6285.261338,0.031036006,1003.525675
Montenegro,Other infectious diseases,437.8592296,0.002173229,69.9100571
Montenegro,Maternal and neonatal disorders,4136.511666,0.020578788,660.4491745
Niger,Cardiovascular diseases,412920.7761,0.03159959,1931.707628
Niger,Transport injuries,185679.508,0.014171465,868.6376243
Niger,Unintentional injuries,421972.8138,0.032177515,1974.054468
South Africa,Sense organ diseases,480212.5019,0.019914054,873.8626246
South Africa,Transport injuries,879656.7298,0.036660881,1600.747868
Nicaragua,Self-harm and interpersonal violence,58840.73386,0.0457693,919.8794781
Panama,Neglected tropical diseases and malaria,4385.382717,0.004962368,111.8410957
Jamaica,Neglected tropical diseases and malaria,1683.502004,0.002147741,60.57366219
Jamaica,Cardiovascular diseases,117281.9422,0.150581886,4219.892065
Thailand,Digestive diseases,850643.4575,0.043614827,1204.432791
Uruguay,Mental disorders,64496.36346,0.06313479,1885.014455
Kenya,Digestive diseases,703412.4335,0.039407844,1455.533531
Kenya,Skin and subcutaneous diseases,303619.1452,0.016934741,628.2627739
Kenya,Sense organ diseases,271880.8377,0.015160307,562.5884003
Morocco,Nutritional deficiencies,145258.6015,0.013975647,409.3069611
Niger,Sense organ diseases,117275.0358,0.008956353,548.6308615
Niger,Diabetes and kidney diseases,178861.5523,0.013670379,836.7421669
Poland,Neglected tropical diseases and malaria,12464.82645,0.000988218,32.46635254
Poland,Cardiovascular diseases,2776497.408,0.221415427,7231.76885
Sudan,Musculoskeletal disorders,575792.9786,0.040250496,1430.344314
Sudan,Other non-communicable diseases,1755724.475,0.122441462,4361.44693
Mexico,Sense organ diseases,983969.058,0.030607183,777.4126848
Mexico,Diabetes and kidney diseases,4378040.105,0.136942805,3458.994858
Armenia,Mental disorders,41969.87795,0.04588087,1386.411278
Armenia,Transport injuries,15174.89848,0.016661981,501.279761
Armenia,Unintentional injuries,45415.79322,0.049709727,1500.241864
Montenegro,Substance use disorders,3091.190521,0.015324355,493.5497329
Montenegro,Diabetes and kidney diseases,11323.72711,0.056127061,1807.983834
Libya,Skin and subcutaneous diseases,35821.39527,0.018688,518.4939227
Libya,HIV/AIDS and sexually transmitted infections,7066.62134,0.003700133,102.2852457
Libya,Respiratory infections and tuberculosis,35153.14794,0.018427094,508.82143
Libya,Enteric infections,19928.08896,0.010402814,288.4475308
Libya,Other infectious diseases,16955.2972,0.008899685,245.418094
Libya,Maternal and neonatal disorders,65503.57327,0.03440423,948.1262357
Nicaragua,Digestive diseases,60514.91894,0.047015895,946.0526476
Nicaragua,Sense organ diseases,47383.25921,0.036581184,740.7604375
Saint Lucia,Neglected tropical diseases and malaria,143.3766849,0.002846285,81.24501259
Morocco,Digestive diseases,287422.0239,0.027758846,809.8923847
Kenya,Cardiovascular diseases,950651.5609,0.053276348,1967.132165
eSwatini,Cardiovascular diseases,37635.819,0.065252817,3347.085461
Thailand,Neglected tropical diseases and malaria,139865.064,0.007126215,198.0360491
Thailand,Cardiovascular diseases,2421628.83,0.124178169,3428.803391
Kenya,Mental disorders,656455.9434,0.036649143,1358.368991
Kenya,Transport injuries,341544.8535,0.019133617,706.7404029
Jamaica,Chronic respiratory diseases,26088.66279,0.033450545,938.6896141
Niger,Musculoskeletal disorders,185133.3334,0.014150398,866.0825343
Niger,Other non-communicable diseases,633927.9967,0.04831283,2965.613787
Thailand,Neurological disorders,1176171.345,0.060130763,1665.350299
Brunei,Musculoskeletal disorders,8566.727381,0.088208614,1980.97187
Brunei,Other non-communicable diseases,5838.488462,0.060395088,1350.093319
India,HIV/AIDS and sexually transmitted infections,4590409.763,0.009561279,332.5033733
India,Respiratory infections and tuberculosis,41137576.89,0.085690581,2979.773874
India,Enteric infections,29922107.1,0.062322813,2167.388547
India,Other infectious diseases,13257259.7,0.02761789,960.2810635
India,Maternal and neonatal disorders,46861336.47,0.097623215,3394.370711
Nepal,Nutritional deficiencies,212043.9503,0.023428953,709.3781872
Nepal,Musculoskeletal disorders,559115.198,0.06182027,1870.480743
Nepal,Other non-communicable diseases,324701.8169,0.035964494,1086.267191
Sri Lanka,Other infectious diseases,49164.02994,0.009521684,227.648796
Sri Lanka,Maternal and neonatal disorders,167219.274,0.032467138,774.29101
Sri Lanka,Substance use disorders,76189.342,0.014730242,352.7866206
Sri Lanka,Diabetes and kidney diseases,515592.6319,0.099717949,2387.396681
Morocco,Mental disorders,758826.8844,0.073156527,2138.208153
Panama,Chronic respiratory diseases,28350.78215,0.032206962,723.0343948
Azerbaijan,Transport injuries,45328.06029,0.014053903,443.3053213
Azerbaijan,Unintentional injuries,168766.2062,0.052237875,1650.521924
Jamaica,HIV/AIDS and sexually transmitted infections,26583.98549,0.034185903,956.5116956
Jamaica,Respiratory infections and tuberculosis,14007.66472,0.017965514,504.0062614
Zimbabwe,Neglected tropical diseases and malaria,92517.02767,0.013245189,628.7792056
Zimbabwe,Cardiovascular diseases,474015.3293,0.067961228,3221.579743
Kenya,Substance use disorders,139043.1402,0.007773032,287.7144947
Kenya,Diabetes and kidney diseases,468834.8134,0.026235108,970.1346736
Nigeria,Neglected tropical diseases and malaria,13473718.42,0.114438633,6537.848832
Saint Lucia,Chronic respiratory diseases,1876.535342,0.037402706,1063.346788
Iceland,Chronic respiratory diseases,4070.920324,0.054038203,1206.303905
Iceland,Digestive diseases,1740.857829,0.023113972,515.8547527
Iceland,Cardiovascular diseases,10371.50807,0.138060662,3073.307676
Poland,Chronic respiratory diseases,466534.5638,0.037153325,1215.15335
Japan,Cardiovascular diseases,5211326.338,0.148776893,4059.827124
Sudan,Skin and subcutaneous diseases,196939.1425,0.013752703,489.2223302
Sudan,HIV/AIDS and sexually transmitted infections,406699.766,0.028503055,1010.294879
Sudan,Respiratory infections and tuberculosis,726199.1504,0.050630539,1803.972719
Sudan,Enteric infections,823127.3254,0.057380759,2044.754856
Sudan,Other infectious diseases,297902.5599,0.0207753,740.0285319
Sudan,Maternal and neonatal disorders,2469512.214,0.172758975,6134.588096
Libya,Substance use disorders,109084.3501,0.057116951,1578.932706
Libya,Diabetes and kidney diseases,118546.584,0.062039433,1715.893054
Morocco,Neoplasms,707141.6195,0.068461318,1992.570384
Jamaica,Skin and subcutaneous diseases,18167.74413,0.023212806,653.6890321
Jamaica,Sense organ diseases,21389.96569,0.027305263,769.6269756
Nicaragua,Cardiovascular diseases,120757.9241,0.093926056,1887.854364
eSwatini,Musculoskeletal disorders,10881.55174,0.018854963,967.7345837
Nepal,Neglected tropical diseases and malaria,146183.4325,0.01617668,489.0464371
Kenya,Musculoskeletal disorders,441327.6264,0.024631819,913.2155304
Kenya,Other non-communicable diseases,946709.3173,0.052984032,1958.974693
Nepal,HIV/AIDS and sexually transmitted infections,191044.2647,0.021206811,639.1252098
Nepal,Respiratory infections and tuberculosis,669063.1901,0.07428354,2238.304051
Nepal,Enteric infections,404889.6037,0.044958627,1354.529817
