country,cause,deaths,pct_of_total_deaths,deaths_per_100K
Myanmar,Enteric infections,9979.12146,0.024352832,18.90163992
Myanmar,Other infectious diseases,6781.770176,0.016539988,12.84547727
Myanmar,Maternal and neonatal disorders,15099.36367,0.036841321,28.59998612
Myanmar,Substance use disorders,1115.996595,0.00271966,2.113829948
Mauritania,Nutritional deficiencies,219.9639554,0.010959812,5.620039964
Mauritania,Neoplasms,2308.545328,0.115138024,58.98292281
Bhutan,Neurological disorders,170.5359305,0.041209324,17.81221066
Bhutan,Mental disorders,0.01023157,2.48E-06,0.001068671
Brunei,Neoplasms,482.3003271,0.25721849,111.5272307
Algeria,Transport injuries,7147.430166,0.04257326,17.66380854
Algeria,Unintentional injuries,4815.201143,0.028672844,11.90005206
Netherlands,Nutritional deficiencies,176.7240915,0.001162266,1.037777198
Algeria,Digestive diseases,4800.227615,0.028589167,11.86304721
Algeria,Neurological disorders,9893.561649,0.058929013,24.45046327
Algeria,Mental disorders,0.362441993,2.16E-06,0.000895721
Myanmar,Neoplasms,60066.15894,0.146457129,113.772431
Myanmar,Musculoskeletal disorders,558.4075619,0.001361713,1.057690169
Myanmar,Other non-communicable diseases,11903.99049,0.029035218,22.54757022
Somalia,Nutritional deficiencies,3434.626271,0.023541347,20.34684624
Mauritania,Digestive diseases,899.8595959,0.04489402,22.99125274
Mauritania,Neurological disorders,755.1095154,0.037692173,19.29291391
Somalia,Chronic respiratory diseases,3059.354244,0.021015913,18.12372162
Somalia,Digestive diseases,4786.49141,0.032894893,28.35534264
Malta,Respiratory infections and tuberculosis,174.8958309,0.043820576,40.25476748
Malta,Enteric infections,3.037929548,0.000761137,0.699222772
Malta,Other infectious diseases,7.035605087,0.001762786,1.619344758
Malta,Maternal and neonatal disorders,11.98288475,0.003003132,2.758031664
Malta,Substance use disorders,12.24886658,0.003068931,2.819251172
Malta,Diabetes and kidney diseases,211.8061535,0.053067503,48.75020414
Netherlands,Cardiovascular diseases,40563.7319,0.266763289,238.2024753
Haiti,Neoplasms,10064.64754,0.11351697,85.11448411
Guyana,Self-harm and interpersonal violence,316.7101635,0.056944797,42.6659262
Haiti,Neglected tropical diseases and malaria,32.30154391,0.000364498,0.273166967
Haiti,Digestive diseases,3619.115787,0.040824823,30.60605669
Haiti,Neurological disorders,2004.546896,0.022625261,16.95200694
Mali,Other infectious diseases,11476.63434,0.061578051,56.66430851
Mali,Maternal and neonatal disorders,29199.19148,0.156509144,144.1670045
Mauritania,Cardiovascular diseases,3924.007957,0.195781129,100.2577058
Somalia,Neurological disorders,2047.045493,0.014069171,12.12676915
Somalia,Mental disorders,0.02967586,2.00E-07,0.000175801
Haiti,Nutritional deficiencies,647.1608116,0.007302007,5.472894944
Mauritania,Skin and subcutaneous diseases,59.42510053,0.002960424,1.518300756
Mauritania,Transport injuries,701.6011989,0.034993221,17.92578593
Netherlands,Substance use disorders,766.119452,0.005037854,4.498884627
Netherlands,Diabetes and kidney diseases,5412.73026,0.035597078,31.78518558
Myanmar,Skin and subcutaneous diseases,692.4376579,0.001687825,1.311559072
Myanmar,Transport injuries,11779.84721,0.028707449,22.31242813
Myanmar,Unintentional injuries,15614.75638,0.03807356,29.57620106
Philippines,Neglected tropical diseases and malaria,3378.915746,0.005077049,3.265579901
Philippines,Digestive diseases,26512.92859,0.039759973,25.62362995
Philippines,Neurological disorders,19419.17117,0.029145526,18.76781187
Guyana,Musculoskeletal disorders,7.79470249,0.001401904,1.050071136
Turkmenistan,HIV/AIDS and sexually transmitted infections,101.0342103,0.003065296,2.030069971
Turkmenistan,Respiratory infections and tuberculosis,1727.949697,0.05235361,34.71951509
Turkmenistan,Enteric infections,80.27596827,0.002432218,1.612976753
Turkmenistan,Other infectious diseases,219.1911461,0.00664181,4.404185098
